"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPAG","197608","509.968","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197609","435.3","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197610","357.194","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197611","501.967","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197612","379.903","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197613","432.221","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197701","488","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197702","666.107","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197703","470.774","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197704","664.867","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197705","392.774","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197706","453.3","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197707","567.742","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197708","632.194","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197709","550.767","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197710","663.032","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197711","590.633","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197712","574","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197713","558.584","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197801","707.516","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197802","658.179","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197803","715.903","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197804","597.533","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197805","701.097","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197806","776.133","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197807","659","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197808","464.194","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197809","615.9","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197810","709.742","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197811","619.167","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197812","561.452","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197813","648.704","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197901","669.226","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197902","746.321","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197903","579","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197904","686.767","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197905","755.452","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197906","587.733","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197907","591.387","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197908","669.258","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197909","510.167","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197910","614.71","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197911","620.5","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
